英文名,性别,音标,中文译名,来源,流行度
Nona,女性,['n&#601;un&#601;],诺娜,拉丁语,无
Nora,女性,['n&#596;:r&#601;],诺拉,拉丁语,无
Norah,女性,['n&#596;:r&#601;],诺拉,法语,无
Noreen,女性,['n&#596;:ri:n],诺琳,希腊语,无
Norene,女性,[n&#596;:'ri:n],诺琳,爱尔兰语,无
Norma,女性,['n&#596;:m&#601;],诺玛,拉丁语,无
Norman,男性,['n&#596;:m&#601;n],诺曼,日耳曼语,★★★
Normand,男性,['n&#596;:m&#601;nd],诺曼德,英语,★
Norris,男性,['n&#596;ris],诺里斯,古法语,★★★
North,中性,[n&#596;:&#952;],诺思,古英语,★★
Norton,男性,['n&#596;:t&#601;n],诺顿,古英语,★★★
Norwood,男性,['n&#596;:.wud],诺伍德,古英语,★★
Nugent,中性,['nju:d&#658;&#601;nt],纽金特,拉丁语,★★
Nunn,中性,[n&#652;n],纳恩,中世纪英语,★★
Oakes,男性,[&#601;uk&#601;z],奥克斯,古英语,★★
Oakley,男性,['&#601;ukli],奥克利,古英语,★★
Ochoa,中性,[&#601;u't&#643;&#601;u&#601;],奥乔亚,,★★★
Octavia,女性,[&#596;k'teivi&#601;],奥克塔维亚,拉丁语,无
Odell,男性,[&#601;u'del],奥德尔,古英语,★★
Odette,女性,[&#601;u'det],奥黛塔,法语,无
Odom,男性,['&#601;ud&#601;m],奥多姆,英语,★★★
Ogden,男性,['&#596;:gd&#601;n],奥格登,古英语,★★
Olga,女性,['&#596;lg&#601;],奥尔加,日耳曼语,无
Olive,女性,['&#596;liv],奥丽弗/奥利夫,拉丁语,★
Oliver,男性,['&#596;liv&#601;],奥利弗,拉丁语,★★★★
Olivia,女性,['&#596;livi&#601;],奥莉维亚,拉丁语,无
Ollie,中性,['&#596;li],奥利,拉丁语,★
Olympia,女性,[&#601;u'limpi&#601;],奥林匹亚,希腊语,无
Opal,女性,['&#601;up&#601;l],奥帕尔,英语,无
Ophelia,女性,[&#601;u'fi:li&#601;],奥菲莉亚,希腊语,无
Orlando,男性,[&#596;:'l&#230;nd&#601;u],奥兰多,古德语,★★
Orr,中性,[&#596;:],奥尔,古诺斯语，盖尔语，古英语,★★★
Ortega,中性,[&#596;:'teig&#601;],奥尔特加,,★★★
Orval,男性,['&#596;:v&#601;l],奥瓦尔,古英语,无
Orville,男性,['&#596;:vil],奥韦尔,古英语,无
Osborn,男性,['&#596;zb&#601;n],奥斯本,古诺斯语,★★★
Osborne,中性,['&#596;zb&#601;n],奥斯本,英语,★★★
Oscar,男性,['&#596;sk&#601;],奥斯卡,古英语,★
Otto,男性,['&#596;t&#601;u],奥托,日耳曼语,★★
Overton,中性,['&#601;uv&#601;tn],奥弗顿,古英语,★★
Owen,男性,['&#601;uin],欧文,盖尔语,★★★
Pace,中性,[peis],佩斯,中世纪英语,★★★
Pack,中性,[p&#230;k],帕克,古英语,★★
Padgett,男性,['p&#230;d&#658;it],帕吉特,法语,★★
Pagan,中性,['peig&#601;n],佩根,拉丁语,★★
Page,男性,[peid&#658;],佩奇,古法语,★★★
Paige,女性,[peid&#658;],佩奇,英语,★★
Painter,中性,['peint&#601;],佩因特,中世纪英语、古法语,★★
Palmer,男性,['pa:m&#601;],帕尔默,古英语,★★★★
Pam,女性,[p&#230;m],帕姆,希腊语,无
Pamela,女性,['p&#230;mil&#601;],帕梅拉,希腊语,无
Pandora,女性,[p&#230;n'd&#596;:r&#601;],潘多拉,希腊语,无
Pansy,女性,['p&#230;nzi],潘西,希腊语,无
Parham,中性,['p&#230;r&#601;m],帕勒姆,古英语,★★
Paris,中性,['p&#230;ris],帕里斯,希腊语，英语,★★
Parish,中性,['p&#230;ri&#643;],帕里什,古法语,★★
Park,男性,[pa:k],帕克,中国,★★★
Parker,男性,['pa:k&#601;],帕克,古英语,★★★★
Parks,中性,[pa:ks],帕克斯,英语,★★★
Parnell,中性,[p&#593;:'nel],帕内尔,拉丁语，法语,★★
Parr,男性,[pa:],帕尔,古英语,★★
Parrish,男性,['p&#230;ri&#643;],帕里什,古法语，英语,★★★
Parsons,中性,['p&#593;:snz],帕森斯,古英语,★★★
Pat,中性,[p&#230;t],帕特,英语,无
Pate,中性,[peit],佩特,中世纪英语,★★
Patience,女性,['pei&#643;&#601;ns],佩欣丝,英语,无
Patricia,女性,[p&#601;'tri&#643;&#601;],帕特里夏,拉丁语,无
Patrick,男性,['p&#230;trik],帕特里克,拉丁语,★★★
Patten,男性,['p&#230;tn],帕藤,中世纪英语,★★
Patterson,中性,['p&#230;t&#601;s&#601;n],帕特森,苏格兰语，古英语,★★★★
Patti,女性,['patti],帕蒂,拉丁语,★
Pattie,女性,['p&#230;ti],帕蒂,阿拉米语,无
Patton,男性,['p&#230;tn],巴顿,古英语,★★★
Patty,女性,['p&#230;ti],帕蒂,阿拉米语,★
Paul,男性,[p&#596;:l],保罗,拉丁语,★★★
Paula,女性,['p&#596;:l&#601;],宝拉,西班牙语,无
Paulina,女性,[p&#596;:'li:n&#601;],宝琳娜,拉丁语,无
Pauline,女性,['p&#596;:lain],葆琳,拉丁语,★
Paulson,中性,[p&#596;:lsn],保尔森,英语,★★
Payne,男性,[pein],佩恩,拉丁语,★★★★
Payton,中性,['peitn],佩顿,古英语,★★
Paz,女性,[pa:z],帕斯,希伯来语,★★
Peachey,中性,['pi:t&#643;i],皮奇,古法语,★★
Peacock,中性,['pi:k&#596;k],皮科克,中世纪英语,★★
Pearce,男性,[pi&#601;s],皮尔斯,盎格鲁-撒克逊语,★★
Pearl,女性,[p&#601;:l],珀尔,拉丁语,★
Pearson,男性,['pi&#601;sn],皮尔逊,英语,★★★
Peck,中性,[pek],佩克,中世纪英语,★★★
Peg,女性,[peg],佩格,英语,无
Peggie,女性,['pegi],佩吉,英语,无
Peggy,女性,['pegi],佩吉,希腊语,无
Pendleton,中性,['pendlt&#601;n],彭德尔顿,古英语,★★
Penelope,女性,[pi'nel&#601;pi],佩内洛普,希腊语,无
Penn,男性,[pen],佩恩,世纪英语、古英语,★★
Penney,女性,['peni:],彭尼,希腊语,★
Pennie,女性,['peni],彭尼,希腊语,无
Pennington,中性,['peni&#331;t&#601;n],彭宁顿,古英语,★★★
Penny,女性,['peni],彭尼，彭妮,英语,★★
Peoples,中性,['pi:plz],皮普尔斯,英语,★★
Percy,男性,['p&#601;:si],珀西,拉丁语,★
Perdue,中性,[p&#601;:'dju:],珀杜,英语,★★
Perkins,中性,['p&#604;:kinz],珀金斯,英语,★★★★
Perry,男性,['peri],佩里,中世纪英语,★★★★
Pete,男性,[pi:t],皮特,英语,★
Peter,男性,['pi:t&#601;],彼得,希腊语,★
Peters,中性,['pi:t&#601;z],彼得斯,英语,★★★★
Peterson,男性,['pi:t&#601;sn],彼得森,英语,★★★★
Pettit,中性,['petit],佩蒂特,盎格鲁诺曼底法语,★★
Petty,女性,['peti],佩蒂,英语,★★★
Phelps,男性,[felps],费尔普斯,古英语,★★★
Phil,男性,[fil],菲尔,英语,无
Philip,男性,['filip],菲利普,希腊语,★
Phillip,男性,['filip],菲利普,希腊语,★
Phillips,男性,['filips],菲利普斯,英语,★★★★
Phillis,女性,['fiis],菲利斯，菲莉丝,希腊语,无
Philomena,女性,[.fil&#601;'mi:n&#601;],菲洛米娜,希腊语,无
Phipps,男性,[fips],菲普斯,古英语,★★
Phoebe,女性,['fi:bi],菲比,希腊语,无
Phyllis,女性,['filis],菲莉丝,希腊语,无
Pickett,中性,['pikit],皮克特,英语,★★★
Pierce,中性,[pi&#601;s],皮尔斯,英语,★★★★
Pierre,男性,[pi(:)'&#603;&#601;],皮埃尔,法语,★★
Pierson,男性,['pi&#601;sn],皮尔森,英语,★★
Pike,男性,[paik],派克,英语,★★
Piper,女性,['paip&#601;],派珀,英语,★★
Pittman,中性,['pitm&#601;n],皮特曼,英语,★★★
Pitts,中性,['pits],皮茨,英语,★★★
Platt,男性,[pl&#230;t],普拉特,古法语,★★
Plummer,中性,['pl&#652;m&#601;],普卢默,古英语,★★
Poe,中性,[p&#601;u],波,英语,★★
Polk,中性,[p&#596;lk],波尔克,英语,★★
Pollard,男性,['p&#596;l&#601;d],波拉德,中世纪英语，日耳曼语,★★★
Pollock,男性,['p&#596;l&#601;k],波洛克,古英语,★★
Polly,女性,['p&#596;li],波利，波莉,希伯来语,★
Pool,中性,[pu:l],普尔,古英语,★★
Poole,中性,[pu:l],普尔,英语,★★★
Pope,男性,[pu:p],波普,中世纪英语,★★★
Porsche,女性,[p&#596;t&#643;],波尔舍,拉丁语,无
Porter,男性,['p&#596;:t&#601;],波特,拉丁语,★★★★
Potter,男性,['p&#596;t&#601;],波特,英语,★★★
Potts,中性,[p&#596;ts],波茨,英语,★★★
Powell,男性,['p&#601;u&#601;l],鲍威尔,古英语，凯尔特语,★★★★
Powers,中性,['pau&#601;z],鲍尔斯,,★★★
Prater,中性,['preit&#601;],普拉特,拉丁语,★★
Pratt,中性,[pr&#230;t],普拉特,古英语,★★★
Prescott,男性,['presk&#601;t],普雷斯科特,古英语,★★
Queenie,女性,['kwi:ni],奎妮,古英语,无
Quentin,男性,['kwentin],昆汀,拉丁语,无
Quick,中性,[kwik],奎克,中世纪英语、古英语,★★
Quincy,男性,['kwinsi],昆西,英语,无
Quinn,中性,[kwin],奎因,爱尔兰语,★★★
Quintin,男性,['kwintin],昆廷,拉丁语,无
Quinton,男性,['kwint&#596;n],昆顿,古英语,★
Rachel,女性,['reit&#643;&#601;l],雷切尔,希伯来语,★
Rae,女性,[rei],雷,希伯来语,★
Raines,男性,[reinz],雷恩斯,英语,★★
Rainey,中性,['reini:],雷尼,日耳曼语,★★
Raleigh,男性,['r&#596;:li],罗利,古英语,★
Ralph,男性,[reif],拉尔夫,日耳曼语,★★
Ramona,女性,[r&#601;'m&#601;un&#601;],拉蒙娜,西班牙语,无
Ramsey,男性,['r&#230;mzi:],拉姆齐,古英语,★★★
Randal,男性,['r&#230;ndl],兰德尔,英语,无
Randall,男性,['r&#230;ndl],兰德尔,古德语,★★★
Randell,男性,['r&#230;ndl],兰德尔,英语,★
Randle,中性,['r&#230;ndl],兰德尔,,★★
Randolph,男性,['r&#230;nd&#596;lf],伦道夫,日耳曼语,★★★
Randy,男性,['r&#230;ndi],兰迪,古德语,无
Rankin,男性,['r&#230;&#331;kin],兰金,古英语,★★
Ransom,男性,['r&#230;ns&#601;m],兰塞姆,古英语,★★
Raphael,男性,['reifl],拉斐尔,希伯来语,★
Ratliff,中性,['r&#230;tlif],拉特利夫,英语,★★
Raven,女性,['r&#230;v&#601;n],雷文,英语,★
Ray,中性,[rei],雷,英语,★★★★
Raye,男性,[rei],雷伊,英语,无
Raymond,男性,['reim&#596;nd],雷蒙德,古德语,★★★
Rea,女性,[rei],雷,希腊语,★★
Read,男性,[ri:d],里德,古英语,★★
Reagan,中性,['reig&#601;n],里根,凯尔特语,★★
Reaves,中性,[ri:vz],里夫斯,英语,★★
Reba,女性,['ri:b&#601;],芮芭,希伯来语,无
Rebecca,女性,[ri'bek&#601;],丽贝卡,希伯来语,无
Rebekah,女性,[ri'bek&#601;],丽贝卡,希伯来语,无
Redd,中性,[red],雷德,英语,★★
Redding,男性,[redi&#331;],雷丁,英语,★★
Redmond,男性,['redm&#601;nd],雷德蒙德,德语,★★
Reed,男性,[ri:d],里德,古英语,★★★★
Reeder,中性,['ri:d&#601;],里德,英语,★★
Reese,女性,[ri:s],里斯；瑞茜,威尔士语,★★★
Reeves,男性,[ri:vz],李维斯,英语,★★★
Regan,女性,['ri:g&#601;n],里根,盖尔语,★★
Reggie,男性,['regi],雷吉,英语,无
Regina,女性,[ri'd&#658;ain&#601;],丽贾娜,拉丁语,无
Reginald,男性,[red&#658;in&#601;ld],雷金纳德,日耳曼语,无
Reid,男性,[ri:d],里德,古英语,★★★
Reilly,男性,['raili],赖利,盖尔语,★★★
Rena,女性,['rin&#601;],丽娜,希腊语,无
Renata,女性,[r&#601;'na:t&#601;],雷纳塔,拉丁语,无
Rene,中性,['renei],雷内,法语，拉丁语,★
Renee,女性,[ri'nei],雷内；蕾妮,法语,无
Reuben,男性,['ru:b&#601;n],鲁本,希伯来语,无
Rex,男性,[reks],雷克斯,拉丁语,★
Rey,男性,[rei],雷伊,拉丁语,★
Reynolds,中性,['ren&#601;ldz],雷诺兹,盖尔语,★★★★
Rhea,女性,['ri:&#601;],雷亚；瑞亚,希腊语,★★
Rhoades,中性,[r&#601;uz],罗兹,德语,★★
Rhoda,女性,['r&#601;ud&#601;],罗达,希腊语,无
Rhodes,男性,[r&#601;udz],罗兹,古英语,★★★
Ricarda,女性,['rika:dz],理卡达,古德语,无
Rice,中性,[rais],赖斯,盎格鲁—撒克逊语,★★★★
Rich,男性,[rit&#643;],里奇,中世纪英语,★★★
Richard,男性,['rit&#643;&#601;d],理查德,古德语,★★★
Richards,中性,['rit&#643;&#601;dz],理查兹,英语,★★★★
Richardson,中性,['rit&#643;&#601;dsn],理查森,,★★★★
Richie,男性,['rit&#643;i],里奇,德语,★
Richmond,男性,['rit&#643;m&#601;nd],里奇满,古法语,★★★
Richter,中性,['rikt&#601;],里克特,,★★
Rick,男性,[rik],里克,德语，英语,★
Ricks,中性,[riks],里克斯,,★★
Riddle,中性,['ridl],里德尔,英语,★★★
Riggs,中性,[rigz],里格斯,英语,★★★
Riley,中性,['raili],赖利,古英语,★★★★
Ring,男性,[ri&#331;],林,古英语,★★
Rita,女性,['ri:t&#601;],丽塔,希腊语,无
Ritchie,男性,['rit&#643;i],里奇,英语,★★
Rivers,男性,['riv&#601;z],里弗斯,古法语,★★★
Roach,中性,[r&#601;ut&#643;],罗奇,中世纪英语,★★★
Rob,男性,[r&#596;b],罗布,英语,无
Robbie,男性,['r&#596;bi],罗比,英语,无
Robbin,男性,['r&#596;bin],罗宾,英语,无
Robbins,中性,['r&#596;binz],罗宾斯,英语,★★★
Roberson,中性,['r&#601;ub&#601;sn],罗伯森,,★★★
Robert,男性,['r&#596;b&#601;t],罗伯特,古德语，英语,★★
Roberta,女性,[r&#601;u'b&#601;:t&#601;],罗伯塔,古英语,无
Roberts,中性,['r&#596;b&#601;ts],罗伯茨,英语,★★★★
Robertson,中性,['r&#596;b&#601;tsn],罗伯逊,英语,★★★★
Robin,中性,['r&#596;bin],罗宾,英语，德语,★
Robinson,中性,['r&#596;binsn],鲁滨逊,英语,★★★★★
Robison,中性,['r&#596;bisn],罗比森,英语,★★
Robyn,中性,['r&#596;bin],罗宾,德语,无
Rock,男性,[r&#596;k],罗克,中世纪英语,★★
Rod,男性,[r&#596;d],罗德,德语,无
Roderick,男性,['r&#596;d&#601;rik],罗德里克,日耳曼语,★
Rodger,男性,['r&#596;d&#658;&#601;],罗杰,英语,★
Rodgers,男性,['r&#596;d&#658;&#601;z],罗杰斯,英语,★★★
Rodney,男性,['r&#596;dni],罗德尼,古英语,★
Roe,男性,[r&#601;u],罗,盎格鲁-撒克逊语,★★
Roger,男性,['r&#596;d&#658;&#601;],罗杰,古德语,★
Rogers,中性,['r&#596;d&#658;&#601;z],罗杰斯,英语,★★★★
Roland,男性,['r&#601;ul&#601;nd],罗兰,德语,★★
Rolf,男性,[r&#596;f],罗尔夫,日耳曼语,★
Rolland,男性,[r&#596;:'l&#230;&#331;],罗兰,英语,★
Rollins,男性,['r&#596;linz],罗林斯,条顿语,★★★
Roma,女性,['r&#596;ma],罗玛,拉丁语,无
Romaine,女性,[.r&#601;u'mein],罗曼,拉丁语,无
Roman,男性,['r&#601;um&#601;n],罗曼,拉丁语,★★★
Romeo,男性,['r&#601;umi&#601;u],罗密欧,拉丁语,★
Ron,男性,[r&#596;n],罗恩,英语,无
Ronald,男性,['r&#596;l&#601;ld],罗纳德,古诺斯语,无
Sabina,女性,[s&#601;'bain&#601;],萨比娜,拉丁语,无
Sabine,女性,['seibain],萨拜因,拉丁语,无
Sadie,女性,['seidi],萨迪,希伯来语,无
Sadler,中性,['s&#230;dl&#601;],萨德勒,古英语,★★
Sage,女性,[seid&#658;],塞奇,拉丁语,★★
Sal,女性,[s&#230;l],萨尔,意大利语,无
Salazar,中性,[.s&#230;l&#601;'za:],萨拉查,,★★★
Sallie,女性,['s&#230;li],萨莉,希伯来语,无
Sally,女性,['s&#230;li],萨莉,希伯来语,无
Salome,女性,[s&#601;'l&#601;umi],萨洛米,希伯来语,无
Salter,中性,['s&#596;:lt&#601;],索尔特,古英语,★★
Sam,男性,[s&#230;m],萨姆,希伯来语,★
Sammie,男性,['s&#230;mi&#601;],萨米,英语,无
Sammy,男性,['s&#230;mi],萨米,希伯来语,无
Sample,中性,['s&#230;mpl],桑普尔,英语,★★
Sampson,男性,['s&#230;mps&#601;n],桑普森,希伯来语,★★★
Sams,中性,[s&#230;mz],萨姆斯,英语,★★
Samuel,男性,['s&#230;mju&#601;l],塞缪尔,希伯来语,★★
Samuels,中性,['s&#230;mju&#601;lz],塞缪尔斯,英语,★★
Sanchez,中性,['sa:nt&#643;&#601;s],桑切斯,西班牙语,★★★★
Sanders,中性,['s&#230;nd&#601;s],桑德斯,中世纪英语,★★★★
Sanderson,男性,['s&#230;nd&#601;sn],桑德森,英语,★★
Sandra,女性,['s&#230;ndr&#601;],桑德拉,希腊语,无
Sands,中性,[s&#230;ndz],桑兹,英语,★★
Sandy,中性,['s&#230;ndi],桑迪,希腊语,★
Sanford,男性,['s&#230;nf&#601;d],桑福德,古英语,★★★
Sara,女性,['sa:r&#601;],萨拉,希伯来语,无
Sarah,女性,['seir&#601;],萨拉,希伯来语,无
Sargent,中性,['sa:d&#658;&#601;nt],萨金特,古法语,★★
Saul,男性,[s&#596;:l],索尔,希伯来语,★
Saunders,中性,['s&#596;:nd&#601;s],桑德斯,希腊语,★★★
Savage,中性,['s&#230;vid&#658;],萨维奇,中世纪英语、古法语,★★★
Sawyer,男性,['s&#596;:j&#601;],索耶,中世纪英语,★★★
Scales,男性,[skeilz],斯凯尔斯,英语,★★
Scarlet,女性,['ska:lit],斯卡利特,英语,无
Scarlett,女性,['ska:l&#601;t],斯卡利特,英语,★
Schmidt,中性,[&#643;mit],施密特,,★★★★
Schultz,中性,[&#643;ults],舒尔茨,德语,★★★
Schumacher,中性,['&#643;u:ma:k&#604;:],舒马赫,,★★
Scott,男性,[sk&#596;t],斯科特,英语,★★★★
Seals,中性,[si:lz],西尔斯,英语,★★
Sean,男性,[&#643;&#596;:n],肖恩,爱尔兰语,无
Sears,中性,[si&#601;z],西尔斯,英语,★★★
Sebastian,男性,[si:'b&#230;stj&#601;n],塞巴斯蒂安,希腊语,★
See,中性,[si:],西伊,中世纪英语,★
Selena,女性,[si'lin&#601;],赛琳娜,希腊语,无
Selene,女性,[si'li:ni],塞勒涅,希腊语,无
Self,中性,[self],塞尔夫,古英语,★★
Selina,女性,[s&#601;'li:n&#601;],塞琳娜,希腊语,无
Sellers,男性,['sel&#601;z],塞勒斯,古英语,★★★
Selma,女性,['selm&#601;],塞尔玛,日耳曼语,无
Serena,女性,[s&#601;'ri:n&#601;],塞丽娜,拉丁语,无
Seth,男性,[se&#952;],塞思,希伯来语,★
Sewell,男性,['su:&#601;l],休厄尔,古英语,★★
Sexton,男性,['sekst&#601;n],塞克斯顿,卫兵,★★★
Seymour,男性,['si:m&#596;:],西摩尔,拉丁语，英语,★★
Shane,男性,[&#643;ein],沙恩,爱尔兰语，盖尔语,★
Shannon,男性,['&#643;&#230;n&#601;n],香农,爱尔兰语,★★★
Sharon,中性,['&#643;&#230;r&#601;n],莎伦；沙龙,希伯来语,★
Sharp,中性,[&#643;a:p],夏普,中世纪英语,★★★
Sharpe,中性,['&#643;a:p],夏普,英语,★★
Shaw,男性,[&#643;&#596;:],肖,古英语,★★★★
Shawn,男性,[&#643;&#596;:n],肖恩,希伯来语,无
Shay,中性,[&#643;ei],谢伊,盖尔语,★
Shea,中性,[&#643;i:],谢伊,盖尔语,★★
Shearer,中性,['&#643;i&#601;r&#601;],希勒,中世纪英语,★★
Sheehan,男性,['&#643;i:&#601;n],希恩,盖尔语,★★
Sheffield,男性,['&#643;efi:ld],谢菲尔德,古英语,★★
Sheila,女性,['&#643;i:l&#601;],希拉,拉丁语,无
Shelby,中性,['&#643;elbi],谢尔比,拉丁语,★★
Sheldon,男性,['&#643;eld&#601;n],谢尔登,古英语,★★
Shelley,中性,['&#643;eli],雪莱,古英语,★★
Shelly,中性,['&#643;eli],谢利,英语,★
Shelton,男性,['&#643;elt&#601;n],谢尔顿,古英语,★★★
Shepard,男性,['&#643;ep&#601;d],谢泼德,盎格鲁-撒克逊语,★★★
Shepherd,男性,['&#643;ep&#601;d],谢泼德,古英语,★★★
Sheppard,男性,['&#643;ep&#601;d],谢泼德,古英语,★★★
Shera,女性,['&#643;er&#601;],谢拉,阿拉米语,无
Sheridan,男性,['&#643;eridn],谢里登,盖尔语,★★
Sherman,男性,['&#643;&#601;:m&#601;n],舍曼,古英语,★★★
Sherwood,男性,['&#643;&#601;:wud],舍伍德,古英语,★★
Shields,中性,['&#643;i:ldz],希尔兹,英语,★★★
Shipley,男性,['&#643;ipli],希普利,英语,★★
Shipman,中性,['&#643;ipm&#601;n],希普曼,古英语,★★
Shipp,中性,[&#643;ip],希普,英语,★★
Shirley,女性,['&#643;&#601;:li],雪利；雪莉；秀兰,古英语,★★
Shockley,中性,['&#643;&#596;kli],肖克莱,,★★
Shoemaker,中性,['&#643;u:meik&#601;],休梅克,,★★
Shona,女性,['&#643;&#601;una:],肖娜,希伯来语,无
Short,中性,[&#643;&#596;:t],肖特,中世纪英语、古英语,★★★
Sibyl,女性,['sibil],西比尔,希腊语,无
Sid,男性,[sid],席德,法语,无
Sidney,中性,['sidni],西德尼；西德妮,古英语,★
Sigrid,女性,['sigrid],西格丽德,斯堪的纳维亚语,无
Silas,男性,['sail&#601;s],赛拉斯,拉丁语,★
Silver,女性,['silv&#601;],西尔弗,英语,★★
Silvia,女性,['silvi&#601;],西尔维亚,拉丁语,★
Simmons,中性,['saim&#601;nz],西蒙斯,古英语,★★★★
Simms,男性,[simiz],西姆斯,希伯来语,★★
Simon,男性,['saim&#601;n],西蒙,希伯来语,★★★
Simons,中性,['saim&#601;nz],西蒙斯,英语,★★
Simpson,中性,['simpsn],辛普森,希伯来语,★★★★
Sims,中性,[simz],西姆斯,,★★★★
Sinclair,男性,['si&#331;kl&#603;&#601;],辛克莱,拉丁语,★★
Singer,中性,['si&#331;&#601;],辛格,,★★
Tabitha,女性,['t&#230;bi&#952;&#601;],塔比瑟,阿拉姆语,无
Tabor,中性,['teib&#601;],泰伯,希伯来语,★★
Talbot,男性,['t&#596;:lb&#601;t],塔尔博特,英语,★★
Tam,男性,[t&#230;m],塔姆,越南语,★
Tammie,男性,['t&#230;mi],塔米,英语,无
Tandy,男性,['t&#230;ndi],坦迪,拉丁语,★
Tania,女性,['t&#230;ni&#601;],塔尼娅,俄语,无
Tanner,男性,['t&#230;n&#601;],坦纳,古英语,★★★
Tanya,女性,,塔尼娅,希腊语，俄语,无
Tate,男性,[teit],泰特,古英语,★★★
Tatum,女性,['teit&#601;m],泰特姆,古英语,★★
Taylor,中性,['teil&#601;],泰勒,英语,★★★★★
Teague,男性,[ti:g],蒂格,爱尔兰语,★★
Ted,男性,[ted],特德,希腊语，英语,无
Teddy,男性,['tedi],特迪,希腊语，英语,无
Temple,男性,['templ],坦普尔；邓波儿,拉丁语,★★
Terence,男性,['ter&#601;ns],特伦斯,拉丁语,无
Teresa,女性,[t&#601;'ri:z&#601;],特丽萨,希腊语,无
Terrance,男性,['terens],特伦斯,英语,无
Terrell,男性,['ter&#601;l],特雷尔,英语,★★★
Terrence,男性,['ter&#601;ns],特伦斯,拉丁语,无
Terry,中性,['teri],特丽；特里,曰耳曼语；拉丁语,★★★
Tess,女性,[tes],特丝,希腊语,无
Tessa,女性,['tes&#601;],特萨,英语,无
Tessie,女性,['tesi],特西,英语,无
Thacker,中性,['&#952;&#230;k&#601;],撒克,中世纪英语,★★
Thad,男性,[&#952;&#230;d],撒德,希腊语,无
Thaddeus,男性,[&#952;&#230;'di(:)&#601;s],撒迪厄斯,希腊语,无
Thalia,女性,[&#952;&#601;'lai&#601;],塔利亚,希腊语,无
Tharp,中性,[&#952;a:p],撒普,英语,★★
Thea,女性,[&#952;i&#601;],西娅,希腊语,无
Thelma,女性,['&#952;elm&#601;],塞尔玛,希腊语,无
Theo,男性,[&#952;i:&#601;u],西奥,希腊语,无
Theodora,女性,[&#952;i&#601;'d&#596;:r&#601;],西奥多拉,希腊语,无
Theodore,男性,['&#952;i&#601;d&#596;:],西奥多,希腊语,★
Theresa,女性,[ti'ri:z&#601;],特丽萨,希腊语,无
Theresia,女性,[ti'ri:zj&#601;],特里西亚,希腊语,无
Thomas,男性,['t&#596;m&#601;s],托马斯,阿拉姆语,★★★★★
Thomasina,女性,[.t&#596;m&#601;'si:n&#601;],托玛西娜,阿拉姆语，希伯来语,无
Thomason,中性,['t&#596;m&#601;sn],托马森,英语,★★
Thompson,中性,['t&#596;mpsn],汤普森,英语,★★★★★
Thomson,中性,['t&#596;msn],汤姆森,英语,★★
Thorne,男性,[&#952;&#596;:n],索恩,古英语,★★
Thornton,中性,['&#952;&#596;:nt&#601;n],桑顿,古英语,★★★
Thorpe,男性,[&#952;&#596;:p],索普,古英语,★★
Thurman,男性,['&#952;&#601;:m&#601;n],瑟曼,中世纪英语,★★
Thurston,男性,['&#952;&#601;:st&#601;n],瑟斯顿,古英语,★★
Tiffany,女性,['tif&#601;ni],蒂法尼,希腊语,★
Tilda,女性,['tild&#601;],蒂尔达,法语,无
Tilley,中性,['tili],蒂利,古英语,★★
Tillie,女性,['tili],蒂利/蒂莉,德语,无
Tillman,中性,['tilm&#601;n],蒂尔曼,古英语,★★★
Tim,男性,[tim],蒂姆,希腊语,无
Timmons,中性,['tim&#601;nz],蒂蒙斯,盖尔语,★★
Timothy,男性,['tim&#601;&#952;i],蒂莫西,希腊语,★
Tina,女性,['ti:n&#601;],蒂娜,拉丁语,无
Tinsley,中性,['tinsli],廷斯利,古英语,★★
Tipton,中性,['tipt&#601;n],蒂普顿,古英语,★★
Titus,男性,['tait&#601;s],泰特斯,拉丁语，希腊语,★★
Tobias,男性,[t&#601;'bai&#601;s],托拜厄斯,希伯来语,★★
Tobin,男性,['t&#601;ubin],托宾,盖尔语,★★
Toby,男性,['t&#601;ubi],托比,希伯来语或英语,无
Tod,男性,[t&#596;d],托德,英语,无
Todd,男性,[t&#596;d],托德,中世纪英语,★★★
Tolbert,中性,['t&#596;lb&#601;t],托尔伯特,日耳曼语,★★
Tom,男性,[t&#596;m],汤姆,希腊语,★
Tomas,中性,['t&#596;m&#601;s],托马斯,英语,★
Tomlinson,中性,['t&#596;mlinsn],汤姆林森,,★★
Tommie,中性,['t&#596;mi],汤米,英语,无
Tommy,中性,['t&#596;mi],汤米,希腊语,无
Tompkins,中性,['t&#596;mpkinz],汤普金斯,古英语,★★
Toney,中性,['t&#601;uni],托尼,英语,★★
Toni,女性,['t&#601;uni],托妮,拉丁语,无
Tony,男性,['t&#601;uni],托尼,拉丁语,无
Torrie,女性,['t&#596;ri],托里,英语,无
Townsend,男性,['taunz&#601;nd],汤森德,古英语,★★★
Tracey,中性,['tresi],特雷西,希腊语,★
Tracy,中性,['treisi],特雷西,爱尔兰盖尔语，希腊语,★★
Travis,男性,['tr&#230;vis],特拉维斯,古法语，英语,★★★
Trent,男性,[trent],特伦特,拉丁语,★★
Trevino,中性,[tr&#601;'vi:n&#601;u],特雷维诺,,★★★
Trevor,男性,['trev&#601;],特雷弗,凯尔特语,无
Trimble,中性,['trimb&#601;l],特林布尔,爱尔兰语,★★
Tripp,男性,[trip],特里普,古英语,★★
Tristan,男性,[tri'st&#601;n],特里斯坦,威尔士语,无
